S.NO,Name,Address,Phone,Email,Category,Type
52,"District - Civil Surgeon,  General Hospital Blood Centre Wardha","New Bldg. OPD 1st Floor, General Hosp.,Dr.Ambedkar Road, Near Jilha Parisad, Itwara Bazar, wardha, Dist. Wardha","9,92,32,28,02,68,38,00,00,000",cswardha@rediffmail.com,Govt.,Camps
53,"Dr. D.Y. Patil Hospital AND Research Centre, Blood Centre","Sector-5, Nerul(E) Navi Mumbai, Thane, Dist. Thane",9819131787,bloodbank.dyph@gmail.com,Charitable/Vol,Camps
54,"Dr. D.Y. Patil Medical College Hospital and Research Centre Blood Centre, Pimpri, Pune.","Dr. D.Y. Patil Medical College Hospital and Research Centre, Sant Tukaram Nagar, Pimpri, Pune, Pimpri, Pune., Dist. Pune",206711649,blood.centre@dpu.edu.in,Charitable/Vol,Camps
55,Dr. Hegdewar Rakta Pedhi,"Sahyadri Shopping Centre , RailwayLines, Solapur, Dist. Solapur",8975589933,hedgewar.raktapedhi@gmail.com,Charitable/Vol,Camps
56,"Dr. L. H. Hiranandani Hospital, Blood Centre","Hill Side, Hiranandani Gardens Powai, Powai, Mumbai, Dist. Mumbai","9619597757,022-25763355 / 25763356",lincy.jacob@hiranandanihospital.org,Charitable/Vol,Camps
57,Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Centre,"Bharat Kala Rd., Malkapur, Malkapur, Dist. Buldana",9423144276,jkpatho@gmail.com,Private,Camps
58,Dr.Rajendra Gode Blood Centre and Component Lab,"Block-1A, Ground Floor,Dr.Rajendra Gode Multispeciality and General  Hospital Mardi Road, Amravati, Dist. Amravati",0,drgmcbloodcentre2024@gmail.com,Charitable/Vol,Camps
59,Dr.Shankarrao Chavan Government Medical College And Hospital Blood Centre Nanded,"Dr.Shankarrao Chavan government medical college and hospital, vishnupuri, Nanded (Blood Bank), , Nanded, Dist. Nanded","9970054434, 9503007847, 9860127959",gmcbbnanded@gmail.com,Govt.,Camps
60,Gadchiroli Blood Centre,"1st floor, infront of Jaika Motors, Chandrapur Road,Navegaon, Gadchiroli, Dist. Gadchiroli",6360845551,gadchirolibloodcentre2025@gmail.com,Charitable/Vol,Camps
61,General Hospital Malegaon Blood Centre,"First Floor Rahul Nagar Kalikuti, Malegaon , Dist. Nashik","7588788915, 9820271312",ghmalegaonbloodbank@gmail.com,Govt.,Camps
62,Godavari Foundation'S Dr.Ulhas Patil Medical College AND Hospital Blood Centre,"Hospital Blg, 2nd floor, Gat no.315/316/321/305 Jalgaon-Bhsawal Road,N.H no -6, Jalgaon- Kh, Jalgaon, Jalgaon, Dist. Jalgaon","9823100333, 0257-2366739",dupmcbloodcentre2010@gmail.com,Charitable/Vol,Camps
63,Goodwill Social Club'S Amruta Blood Centre,"Shop no- 102/103, 1st floor ,Nano Comlex Near Shanoormiya arga, Vegetable arket, Shahnoorwadi, Aurangabad, Dist. Aurangabad",7756067804,amrutabloodbank@gmail.com,Charitable/Vol,Camps
64,"Government Medical College And Hospital ,Blood Centre, Miraj","Pandharpur Rd, Maji Sainik Vasahat, Miraj, Dist. Sangli",8217623897,gmchmirajbloodbank@gmail.com,Govt.,Camps
65,"Grant Medical Foundation,  A.H. Wadia Trust Blood Centre","40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune, Dist. Pune",9890148566,bloodbank@rubyhall.com,Charitable/Vol,Camps
66,"Hinjewadi Blood Centre, Hinjewadi, Tal. Mulshi, Dist. Pune","Sr/ No.218, Hissa no 28/2&2/1, Om Plaza, 4th Floor, Plot No 1392, Hinjewadi, Phase 1, Tal. Mulshi, Dist. Pune, Pune, Dist. Pune",7773966539,hinjewadibloodcentre@gmail.com,Charitable/Vol,Camps
67,"Ima, Sahakar Maharshi Shankarrao Mohite Patil Blood Centre","804, Old Pandharpur Road, Ganeshnagar Akluj, Solapur, Dist. Solapur",02185-222101/225601,imabloodbank136@rediffmail.com,Charitable/Vol,Camps
68,"Indian Red Cross Society Blood Centre, Bai Gopabai Damani Blood Centre, Solapur","Bai Gopabai Damani Blood Bank, 165 Railway Line ,Red Cross Road, Dufferin Chowk , Solapur, Dist. Solapur",0217-2726858,gopabaidamani@yahoo.com,Red Cross,Camps
69,"Indian Red Cross Society Blood Centre, Nanded","Parsi Anjuman Complex, Vazirabad, Nanded, , Nanded, Dist. Nanded","9850947545, 02462-236699/231012",ircsnanded@gmail.com,Red Cross,Camps
70,"Indian Red Cross Society Blood Centre, Shriman Rambhai Shah Blood Centre","Jawaharlal Hospital Compound , Shivaji Road, Barsi ,Somwarpeth, Solapur, Dist. Solapur",9011095652,srsbloodbank@gmail.com,Red Cross,Camps
71,"Indian Red Cross Society, Dr. Shirgaonkar Blood Centre","Red Cross Chowk, Civil Hospital Road, Sangli, Dist. Sangli",8080368303,shirgaonkar_sangli@yahoo.co.in,Red Cross,Camps
72,Indian Red Cross Society Sanchalit Askaran Tarachand Jain Blood Centre,"First floor ,Jawahar Market, Near Old Tehasil Office, Chopda, Dist. Jalgaon",7020718245,ircschopda1999@gmail.com,Red Cross,Camps
73,Indian Serological Institute Blood Centre,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune, Dist. Pune",9096039023,isibloodbank@rediffmail.com,Charitable/Vol,Camps
74,"Ircs Nagappa Ambarkhane Blood Centre, Udgir","IRCS Nagappa Amberkhane Blood Bank, Udgir Tq. Udgir, , Udgir, Dist. Latur","9422185125, 02385-258325",bloodbankudgir@yahoo.com,Red Cross,Camps
75,Ishwar Seva Trusts Dombivali Blood Center,"PTS No.7559, HIssa No.14P, Basement Pushpdeo apt, near sarvesh hall, opp manav kalyan kendra Dombivali East, Dombivli, Dist. Thane",9223300850,dhankrish03@gmail.com,Charitable/Vol,Camps
76,Jagiivan Ram Hospital (Western Railway) Blood Centre,"Second Floor, Annexure Building (G+7), Jagjivan Ram Hospital, Maratha Mandir Marg, Mumbai, Dist. Mumbai",9920685565,jrhbloodbank@gmail.com,Govt.,Camps
77,Jalna Blood Centre Components And Apheresis Centre,"2nd and 3rd floor, Panna Chamber, Deulgaon Raja Road, Jalna, Dist. Jalna",9766980909,jalnabloodcentre01@gmail.com,Charitable/Vol,Camps
78,Jankalyan Blood Centre,"Gadgil Patangan, Nalegaon, , Ahmednagar, Dist. Ahmadnagar",8378958696,jankalyanbloodbanknagar@rediffmail.com,Charitable/Vol,Camps
79,Jankalyan Rakta Pedhi,"1st Floor,Vivekanand Hospital, Desaipura, Nandurbar, Dist. Nandurbar","9096175855,(02564)226934",drrajeshkeswani@gmail.com,Charitable/Vol,Camps
80,"Jaslok Hospital And Research Centre, Blood Centre","15,Dr.G.Deshmukh Marg, Mumbai, Dist. Mumbai",9320918214,bloodbank.officer@jaslokhospital.net,Charitable/Vol,Camps
81,Jawahar Medical Foundation Blood Centre,"Hutatma Shririshkumar Nagar, Opp.Jawahar Suthgirani, Morane, Sakri Road, A.C.P.M. COLLEGE MORANE DHULE, Dhule, Dist. Dhule",9011125456,acpm@rediffmail.com,Charitable/Vol,Camps
82,"Jeevandai Blood Centre, Components AND Apheresis Centre Beed","1st floor Aman Plaza, Barshi Road, Beed, Beed, Dist. Bid",9762217658,Jeevandaibloodbank12@gmail.com,Charitable/Vol,Camps
83,Jeevandhara Buldana Urban Blood Centre Run And Managed By Shree Charitable Trust,"1st floor, DSD City Mall,  above bank of India, Tehsil to Stadium Road , Buldana , Buldana, Dist. Buldana",9922527555,maheshbhakkad@gmail.com,Charitable/Vol,Camps
84,Jeevan Jyoti Blood Centre AND Component,"J-12, West High Court Road, Opp. Bank of Baroda, Laxmi Nagar, Nagpur, Nagpur, Dist. Nagpur","9422113811,0712-2231660 / 2230876",jjbb21@hotmail.com,Charitable/Vol,Camps
85,Jeevan Surabhi Blood Centre,"Laxmi Nagar, Kargaon Road, Chalisgaon, Dist. Jalgaon",9422383322,jsbb@live.in,Charitable/Vol,Camps
86,Jijai Blood Centre Components Laboratory And Apheresis Centre C,"Sambhaji Umrekar Heights, Shahaji Market,Shivaji Nagar, Nanded, Dist. Nanded",9527283838,jajaibloodcentre@gmail.com,Charitable/Vol,Camps
87,Jupiter Hospital Blood Centre,"Jupiter Hospital, Second Floor, South Block, Eastern Express Highway, Service Road, Near Voltas,  Naupada, Thane, Dist. Thane",9869745596,mohamad.amir@jupiterhospital.com,Private,Camps
88,Kai Wamanrao Oka Rakta Kendra,"VISHNU NAGAR,GHANTALI MANDIR RD,NAUPADA, THANE, Thane, Dist. Thane",9833785529,woraktapedhi@gmail.com,Charitable/Vol,Camps
89,Kalpataru Bahuuddeshiya Sansthas Lokmanya Blood Centre Gondia,"Sheet No.50B, Plot No.839/1, Near Sai Sonography, Hanuman Mandir Chowk, Civil Line, Gondia, Dist. Gondiya",9552556418,lokmanyabb@gmail.com,Charitable/Vol,Camps
90,"Kanthak Sevabhavi Sanstha, New Life Blood  Centre, Parbhani","Plot. No.-22, S.No - 389 & 394, Beside Gurudwara, Station Road, Parbhani, Dist. Parbhani",9823093235,newlifebloodbank@gmail.com,Charitable/Vol,Camps
91,"K.B.Bhabha Muncipal General Hospital, Blood Centre","1st floor, N.38, R.K.Patkar Marg, Bandra (W), Mumbai, Dist. Mumbai",9321152854,bhabha.bandra@gmail.com,Govt.,Camps
92,K.E.M. Hospital Blood Centre,"Acharya Donde Marg, Parel, Mumbai - 400012, Mumbai, Dist. Mumbai",2224107016,bloodbankkem@gmail.com,Govt.,Camps
93,Keshavsmruti Pratishthan Sanchalit Madhavrao Golwalkar Swayamsevi Raktpedhi,"OPP. GOLANI MARKET, JALGAON, DR. ANIL ACHYARYA BHAVAN, Jalgaon, Dist. Jalgaon",9422564079,mgsr98@gmail.com,Charitable/Vol,Camps
94,Kohinoor Hospital Blood Centre,"Upper basement, room no - 29 to 43,Konihoor City, Kirol road, off L.B.S Marg, Kurla (w), Mumbai, Dist. Mumbai","9029326895,022 - 67556737 / 38",sarfaraz.chowdhary@kohinoorhospitals.in,Private,Camps
95,Kokilaben Dhirubhai Ambani Hospital Navi Mumbai Blood Centre,"Room No. 01016, 1st floor, Reliance Hospital, Plot No. X-8, TTC Industrial Area, MIDC, Thane, Room No. 01016, 1st floor, Reliance Hospital, Plot No. X-8, TTC Industrial Area, MIDC, Thane, Thane, Dist. Thane",7304467774,Bloodbank.rhnm@kokilabenhospitals.com,Charitable/Vol,Camps
96,Konkan Mitra Mandal Medical Trust'S Sahyadri Speaciality Hospital Blood Centre,"Plot No-30 C, Erandvane, Karve Road, Pune, Dist. Pune",9673338405 / 9850540682 / 9422548833,labqm@sahyadrihospitals.com,Charitable/Vol,Camps
97,"Krishna Hospital AND Medical Research Centre, Blood Centre","Poona Banglore(NH4)Highway Near Debhewadi Road, Tal- Karad, , Poona Banglore(NH4)Highway Near Debhewadi Road, Tal- Karad, , Satara, Dist. Satara",9420463203,khbloodbank123@gmail.com,Charitable/Vol,Camps
98,"Laksh Foundation, Lifeline Blood Centre, Nashik","Suyojit Commercial Complex, Surve No. 804/A-123, Shop No L9B, Lower Ground Floor, Mumbai Agra Highway, Mumbai Naka, Nashik, Nashik, Dist. Nashik",8308400083,lifelinebloodbanknashik@gmail.com,Charitable/Vol,Camps
99,"Late Balasaheb Datye, Lions Blood Centre, Ichalkaranji","5/468, Datye Mala, Lions Park,  Ichalkaranji, Tal-Hatkanangale, Hatkanangale, Dist. Kolhapur","9860858918,0230-2436130",lbbank89@gmail.com,Charitable/Vol,Camps
100,Leelavati Blood Centre,"John Lay Out, Jamrnn Road, Near Bus stand, Buldhana, Dist. Buldana",9834374310,dr.ajitshirsat@rediffmail.com,Private,Camps
101,Lilavati Hospital AND Research Centre Blood Centre,"A 791, Bandra Reclaimation, Bandra (W), Bandra, Dist. Mumbai",226568220,bloodbank@lilavatihospital.com,Charitable/Vol,Camps
102,Lokamanya Tssia  Blood Centre,"TSSIA house,road no 16,next to janta sahkari bank , petrol pump,wagle estate, , Thane, Dist. Thane",8652248607,lokmanyatssiabb1@gmail.com,Charitable/Vol,Camps
103,"L.T.M.G., Municipal Hospital Blood Centre","Lokmanya Tilak Gen. Mun. Hospital premise, Sion, Sion, Dist. Mumbai","9167059179,022-2406 3494 / 95   Ext:3469",bloodbank2009@gmail.com,Govt.,Camps
104,Mahalaxmi Blood Centre,"1082/K/1A, B Ward, Second floor, west side, Mahila Sankul building, Mirajkar Tikati, Kolhapur, Karveer, Dist. Kolhapur",9561076070,mahalaxmibloodcentrekop@gmail.com,Charitable/Vol,Camps
105,"Maharashtra Bloodbank, Component AND Apheresis Center","C- wing, 107/207, Kuldeep Arcade, Near Navli Railway Phatak, Station Road, Palghar (w), PALGHAR, Dist. Palghar",9049522578,maharashtrabloodbank@gmail.com,Charitable/Vol,Camps
106,Mahatma Basaveshwar Blood Centre,"S.No.355/2A/5, New S.No. 25/2A/5, Old plot no.10 Hall, 1st floor and 2nd floor, Sonamata Nagar, Near Mashal vasti, vijapur road city, Dist. Solapur",9850220047,mahatmabasaveshwarbcsol21@gmail.com,Charitable/Vol,Camps
107,"Mahatma Gandhi Hospital Blood Centre, New Pargaon","At.Post-New Pargaon, TQ-Hatkanangale, Dist. Kolhapur, Hatkanangale, Dist. Kolhapur","9823427765, 0230 / 2477081 - 83/2477308",mghbbnewpargaon@gmail.com,Charitable/Vol,Camps
108,"Majalgaon Blood Centre, Blood Component and Apheresis Centre, Majalgaon","Plot No: 2&3, Survey No:371, 2nd floor, Naik Complex,bypass road, Majalgaon, Tal: Majalgaon, Dis: Beed, Dist. Bid",8412844170,majalgaonbloodcentre@gmail.com,Charitable/Vol,Camps
109,"Manas Blood Centre, Miraj","Marathe Road, Final Plot No-143, Sangli Miraj , Marathe Road, Final Plot No-143, Sangli Miraj , Miraj, Dist. Sangli",8087120128,manasbloodbankmiraj@gmail.com,Charitable/Vol,Camps
110,Manikraj Bahuudeshiya Samajsevi Sanstha Shivneri Blood Centre,"Milkat No.4540/4247, CTS No.30, Soham Nagari, R.C.C building, A-wing, 2nd floor, Shop no.205, Manchar, Ambegaon, Dist. Pune",9975564130,shivneribloodcentre@gmail.com,Charitable/Vol,Camps
111,Masina Hospital Blood Centre,"Sant Savta Marg, Byculla (E), Byculla, Dist. Mumbai",9004362229,bloodbank@masinahospital.coml.com,Charitable/Vol,Camps
112,Mauli Blood Centre,"529 B/1, Parasnis Colony, Behind Dr. Pendharkar Hospital, Near Monark Hotel, Sadar Bazar, Powai Naka, , Satara, Dist. Satara","9422038970,02162-222586 / 222031",maulibloodbank@gmail.com,Charitable/Vol,Camps
113,"Maya Blood Centre, Badlapur (W), Tal. Ambernath, Dist.Thane","Shop no. 16-22, Safalya Extension, B-wing, Next to Forest Office, Badlapur (W), Tal. Ambernath, Dist.Thane - 421503, Badlapur (W), Dist. Thane",9766103661,mayabcbadlapur@gmail.com,Charitable/Vol,Camps
114,"Medical Superitendant, Government Hospital Blood Centre(Khamgaon)","General Hospital Shegaon Road, Khamgaon, Khamgaon, Dist. Buldana",7588846831,ms_ghkhamgaon@rediffmail.com,Govt.,Camps
115,"Medical Superitendant, Saibai Mote General Hospital Blood Centre, Shegaon","Saibai Mote General Hospital Shegaon, Shegaon, Dist. Buldana","9422915379, 07265-252020",saibai_mote@rediffmail.com,Govt.,Camps
